KHACHHANG_ID,NGAY,UP,DOWN,NGAY_THANHLY,THANHLY
277,12/31/2022,7,181,6/3/2023,1
277,1/11/2023,9,288,6/3/2023,1
277,1/28/2023,1,47,6/3/2023,1
277,1/31/2023,3,70,6/3/2023,1
277,2/5/2023,6,131,6/3/2023,1
277,2/15/2023,3,63,6/3/2023,1
277,2/20/2023,4,101,6/3/2023,1
277,2/27/2023,0,10,6/3/2023,1
277,2/28/2023,2,45,6/3/2023,1
277,3/3/2023,3,93,6/3/2023,1
277,3/8/2023,2,40,6/3/2023,1
277,3/12/2023,11,219,6/3/2023,1
277,3/26/2023,0,14,6/3/2023,1
277,3/27/2023,1,41,6/3/2023,1
277,3/29/2023,1,18,6/3/2023,1
277,3/31/2023,5,127,6/3/2023,1
277,4/9/2023,0,22,6/3/2023,1
277,4/10/2023,4,106,6/3/2023,1
277,4/16/2023,3,88,6/3/2023,1
277,4/22/2023,0,0,6/3/2023,1
277,4/23/2023,0,0,6/3/2023,1
277,4/24/2023,0,0,6/3/2023,1
277,4/27/2023,0,0,6/3/2023,1
277,4/30/2023,0,0,6/3/2023,1
1583,1/1/2023,0,3,5/31/2023,1
1583,1/3/2023,1,17,5/31/2023,1
1583,1/4/2023,0,12,5/31/2023,1
1583,1/5/2023,0,10,5/31/2023,1
1583,1/6/2023,1,15,5/31/2023,1
1583,1/7/2023,0,0,5/31/2023,1
1583,1/8/2023,0,0,5/31/2023,1
1583,1/9/2023,0,13,5/31/2023,1
1583,1/10/2023,0,18,5/31/2023,1
1583,1/11/2023,0,11,5/31/2023,1
1583,1/12/2023,0,14,5/31/2023,1
1583,1/13/2023,0,8,5/31/2023,1
1583,1/14/2023,0,0,5/31/2023,1
1583,1/16/2023,1,16,5/31/2023,1
1583,1/17/2023,0,15,5/31/2023,1
1583,1/18/2023,1,16,5/31/2023,1
1583,1/19/2023,1,9,5/31/2023,1
1583,1/21/2023,0,2,5/31/2023,1
1583,1/22/2023,0,3,5/31/2023,1
1583,1/23/2023,0,2,5/31/2023,1
1583,1/24/2023,0,4,5/31/2023,1
1583,1/26/2023,0,0,5/31/2023,1
1583,1/27/2023,1,17,5/31/2023,1
